Course Title,TermCode,Period,Teacher,Abs1,SISNumber,Grade
Advisory,Q4,1,"Nelson, Matthew",17,712371,P
Advisory,Q4,1,"Nelson, Matthew",12,728189,P
Advisory,Q4,1,"Nelson, Matthew",35,692368,P
Advisory,Q4,1,"Nelson, Matthew",40,800850,NP
Advisory,Q4,1,"Nelson, Matthew",36,816925,NP
Advisory,Q4,1,"Nelson, Matthew",40,728288,P
Advisory,Q4,1,"Nelson, Matthew",0,778724,P
Advisory,Q4,1,"Nelson, Matthew",8,712031,P
Advisory,Q4,1,"Nelson, Matthew",36,723954,NP
Advisory,Q4,1,"Nelson, Matthew",38,713632,P
Advisory,Q4,1,"Nelson, Matthew",4,721061,P
Advisory,Q4,1,"Nelson, Matthew",6,779657,P
Advisory,Q4,1,"Nelson, Matthew",5,825155,P
LA: Creative Writing,Q4,2,"Nelson, Matthew",34,692054,NG
LA: Creative Writing,Q4,2,"Nelson, Matthew",26,717118,NG
LA: Creative Writing,Q4,2,"Nelson, Matthew",13,714596,A
LA: Creative Writing,Q4,2,"Nelson, Matthew",8,763303,A
LA: Creative Writing,Q4,2,"Nelson, Matthew",18,737937,A
LA: Creative Writing,Q4,2,"Nelson, Matthew",7,728182,A
LA: Creative Writing,Q4,2,"Nelson, Matthew",2,795442,B
LA: Creative Writing,Q4,2,"Nelson, Matthew",27,693432,A
LA: Creative Writing,Q4,2,"Nelson, Matthew",24,726325,C
LA: Creative Writing,Q4,2,"Nelson, Matthew",0,732149,A
LA: Creative Writing,Q4,2,"Nelson, Matthew",26,744841,D
LA: Creative Writing,Q4,2,"Nelson, Matthew",38,711017,B
LA: Creative Writing,Q4,2,"Nelson, Matthew",30,788157,B
LA: Creative Writing,Q4,2,"Nelson, Matthew",17,810922,A
LA: Creative Writing,Q4,2,"Nelson, Matthew",44,673215,NG
LA: Creative Writing,Q4,2,"Nelson, Matthew",20,724127,B
LA: Creative Writing,Q4,2,"Nelson, Matthew",24,748865,D
LA: Creative Writing,Q4,2,"Nelson, Matthew",7,724528,B
GV: Race & Cultural Studies,Q4,3,"Nelson, Matthew",0,826033,A
GV: Race & Cultural Studies,Q4,3,"Nelson, Matthew",28,680242,B
GV: Race & Cultural Studies,Q4,3,"Nelson, Matthew",7,763282,C
GV: Race & Cultural Studies,Q4,3,"Nelson, Matthew",0,827528,B
GV: Race & Cultural Studies,Q4,3,"Nelson, Matthew",5,751217,A
GV: Race & Cultural Studies,Q4,3,"Nelson, Matthew",33,777027,D
GV: Race & Cultural Studies,Q4,3,"Nelson, Matthew",24,818729,D
GV: Race & Cultural Studies,Q4,3,"Nelson, Matthew",25,828864,C
GV: Race & Cultural Studies,Q4,3,"Nelson, Matthew",1,751291,A
EC: Race/Cultural Stud,Q4,3,"Nelson, Matthew",24,648249,B
EC: Race/Cultural Stud,Q4,3,"Nelson, Matthew",37,679322,D
EC: Race/Cultural Stud,Q4,3,"Nelson, Matthew",3,684890,A
EC: Race/Cultural Stud,Q4,3,"Nelson, Matthew",20,661833,D
EC: Race/Cultural Stud,Q4,3,"Nelson, Matthew",25,679761,A
EC: Race/Cultural Stud,Q4,3,"Nelson, Matthew",3,749978,B
H: Periodic Functions/Matrices Q4,Q4,4,"Nelson, Matthew",13,648249,B
H: Periodic Functions/Matrices Q4,Q4,4,"Nelson, Matthew",28,680242,NG
H: Periodic Functions/Matrices Q4,Q4,4,"Nelson, Matthew",25,656290,D
H: Periodic Functions/Matrices Q4,Q4,4,"Nelson, Matthew",8,781342,A
H: Periodic Functions/Matrices Q4,Q4,4,"Nelson, Matthew",18,679761,B
H: Periodic Functions/Matrices Q4,Q4,4,"Nelson, Matthew",22,818729,D
H: Periodic Functions/Matrices Q4,Q4,4,"Nelson, Matthew",11,713632,B
H: Periodic Functions/Matrices Q4,Q4,4,"Nelson, Matthew",10,715259,A
H: Periodic Functions/Matrices Q4,Q4,4,"Nelson, Matthew",16,691442,C
H: Periodic Functions/Matrices Q4,Q4,4,"Nelson, Matthew",14,711337,C
LA: Creative Writing,Q4,6,"Nelson, Matthew",15,648249,B
LA: Creative Writing,Q4,6,"Nelson, Matthew",7,749499,C
LA: Creative Writing,Q4,6,"Nelson, Matthew",3,814881,A
LA: Creative Writing,Q4,6,"Nelson, Matthew",23,720886,D
LA: Creative Writing,Q4,6,"Nelson, Matthew",11,728189,A
LA: Creative Writing,Q4,6,"Nelson, Matthew",25,748113,NG
LA: Creative Writing,Q4,6,"Nelson, Matthew",26,680242,D
LA: Creative Writing,Q4,6,"Nelson, Matthew",27,679322,D
LA: Creative Writing,Q4,6,"Nelson, Matthew",27,800850,C
LA: Creative Writing,Q4,6,"Nelson, Matthew",7,764739,C
LA: Creative Writing,Q4,6,"Nelson, Matthew",8,712031,A
LA: Creative Writing,Q4,6,"Nelson, Matthew",24,828864,D
LA: Creative Writing,Q4,6,"Nelson, Matthew",15,687288,C
LA: Creative Writing,Q4,6,"Nelson, Matthew",33,681181,C
LA: Creative Writing,Q4,6,"Nelson, Matthew",19,711337,C
H: Periodic Functions/Matrices Q4,Q4,7,"Nelson, Matthew",0,826033,A
H: Periodic Functions/Matrices Q4,Q4,7,"Nelson, Matthew",2,711545,A
H: Periodic Functions/Matrices Q4,Q4,7,"Nelson, Matthew",8,684890,A
H: Periodic Functions/Matrices Q4,Q4,7,"Nelson, Matthew",17,656290,A
H: Periodic Functions/Matrices Q4,Q4,7,"Nelson, Matthew",20,687735,C
H: Periodic Functions/Matrices Q4,Q4,7,"Nelson, Matthew",9,828616,A
H: Periodic Functions/Matrices Q4,Q4,7,"Nelson, Matthew",4,721571,A
H: Periodic Functions/Matrices Q4,Q4,7,"Nelson, Matthew",14,711017,A
H: Periodic Functions/Matrices Q4,Q4,7,"Nelson, Matthew",17,663094,B
H: Periodic Functions/Matrices Q4,Q4,7,"Nelson, Matthew",26,828864,D
H: Periodic Functions/Matrices Q4,Q4,7,"Nelson, Matthew",4,809530,A
GV: Race & Cultural Studies,Q4,8,"Nelson, Matthew",4,814881,A
GV: Race & Cultural Studies,Q4,8,"Nelson, Matthew",14,818708,A
GV: Race & Cultural Studies,Q4,8,"Nelson, Matthew",24,676003,P
GV: Race & Cultural Studies,Q4,8,"Nelson, Matthew",19,737934,D
GV: Race & Cultural Studies,Q4,8,"Nelson, Matthew",6,724528,C
GV: Race & Cultural Studies,Q4,8,"Nelson, Matthew",9,728015,A
EC: Race/Cultural Stud,Q4,8,"Nelson, Matthew",15,829351,A
EC: Race/Cultural Stud,Q4,8,"Nelson, Matthew",3,742905,C
EC: Race/Cultural Stud,Q4,8,"Nelson, Matthew",9,768951,A
EC: Race/Cultural Stud,Q4,8,"Nelson, Matthew",17,764739,B
EC: Race/Cultural Stud,Q4,8,"Nelson, Matthew",20,728288,C
EC: Race/Cultural Stud,Q4,8,"Nelson, Matthew",15,723954,B
EC: Race/Cultural Stud,Q4,8,"Nelson, Matthew",17,713632,C
EC: Race/Cultural Stud,Q4,8,"Nelson, Matthew",16,687288,A
EC: Race/Cultural Stud,Q4,8,"Nelson, Matthew",2,651461,B
