Student,Grade,Term,Year,Coure Title
571944,60.3,Q1,2019-2020,C: Survey of Functions Q1
655807,60.1,Q1,2019-2020,C: Survey of Functions Q1
773644,83.7,Q1,2019-2020,C: Survey of Functions Q1
534468,76.9,Q1,2019-2020,C: Survey of Functions Q1
647010,94.8,Q1,2019-2020,C: Survey of Functions Q1
742241,100.3,Q1,2019-2020,C: Survey of Functions Q1
656290,84.2,Q1,2019-2020,C: Survey of Functions Q1
597848,89.8,Q1,2019-2020,C: Survey of Functions Q1
647770,81.2,Q1,2019-2020,C: Survey of Functions Q1
764982,42.6,Q1,2019-2020,C: Survey of Functions Q1
604668,72.0,Q1,2019-2020,C: Survey of Functions Q1
600391,82.4,Q1,2019-2020,C: Survey of Functions Q1
626492,102.1,Q1,2019-2020,C: Survey of Functions Q1
656307,87.5,Q1,2019-2020,C: Survey of Functions Q1
797957,86.2,Q1,2019-2020,C: Survey of Functions Q1
551404,105.6,Q1,2019-2020,C: Survey of Functions Q1
617650,64.8,Q1,2019-2020,C: Survey of Functions Q1
647008,79.3,Q1,2019-2020,C: Survey of Functions Q1
652070,91.7,Q1,2019-2020,C: Survey of Functions Q1
803434,72.9,Q1,2019-2020,C: Survey of Functions Q1
622775,82,Q1,2019-2020,C: Survey of Functions Q1
625896,95.3,Q1,2019-2020,C: Survey of Functions Q1
654611,87.1,Q1,2019-2020,C: Survey of Functions Q1
658926,64.4,Q1,2019-2020,C: Survey of Functions Q1
586526,60,Q1,2019-2020,C: Survey of Functions Q1
567990,89.8,Q1,2019-2020,C: Survey of Functions Q1
649631,84.9,Q1,2019-2020,C: Survey of Functions Q1
752117,84.1,Q1,2019-2020,C: Survey of Functions Q1
669379,70,Q1,2019-2020,C: Survey of Functions Q1
751284,86.8,Q1,2019-2020,C: Survey of Functions Q1
558625,99.7,Q1,2019-2020,C: Survey of Functions Q1
657629,83.5,Q1,2019-2020,C: Survey of Functions Q1
717118,76.3 C,Q1,2019-2020,A: Functions/Linear Equations Q1
677110,60.4 D,Q1,2019-2020,A: Functions/Linear Equations Q1
622102,93.8 A,Q1,2019-2020,A: Functions/Linear Equations Q1
740796,90.2 A,Q1,2019-2020,A: Functions/Linear Equations Q1
605118,87.9 B,Q1,2019-2020,A: Functions/Linear Equations Q1
768014,92.9 A,Q1,2019-2020,A: Functions/Linear Equations Q1
661833,79.7 C,Q1,2019-2020,A: Functions/Linear Equations Q1
690228,8.0 NG (F)*,Q1,2019-2020,A: Functions/Linear Equations Q1
751480,87.9 B,Q1,2019-2020,A: Functions/Linear Equations Q1
655970,91.7 A,Q1,2019-2020,A: Functions/Linear Equations Q1
649699,19.7 NG (F)*,Q1,2019-2020,A: Functions/Linear Equations Q1
604839,71.5 C,Q1,2019-2020,A: Functions/Linear Equations Q1
803460,102.0 A,Q1,2019-2020,A: Functions/Linear Equations Q1
721571,91.0 A,Q1,2019-2020,A: Functions/Linear Equations Q1
685415,30.5 NG (F)*,Q1,2019-2020,A: Functions/Linear Equations Q1
626586,87.3 B,Q1,2019-2020,A: Functions/Linear Equations Q1
801012,105.1 A,Q1,2019-2020,A: Functions/Linear Equations Q1
660613,62.0 D,Q1,2019-2020,A: Functions/Linear Equations Q1
660430,73.3 C,Q1,2019-2020,A: Functions/Linear Equations Q1
681181,80.6 B,Q1,2019-2020,A: Functions/Linear Equations Q1
779313,101.1 A,Q1,2019-2020,A: Functions/Linear Equations Q1
529105,102.6 A,Q1,2019-2020,C: Survey of Functions Q1
571084,84.8 B,Q1,2019-2020,C: Survey of Functions Q1
515638,73.0 C,Q1,2019-2020,C: Survey of Functions Q1
