zipcode,median_income,"https://data.census.gov/table/ACSST5Y2021.S1903?=median%20income&g=860XX00US97266,97267"
97005,61919,
97013,82875,
97015,77879,
97027,86013,
97030,54952,
97067,69393,
97086,94416,
97201,59811,
97202,87266,
97203,71498,
97206,77133,
97209,72323,
97211,93743,
97212,115417,
97213,86005,
97214,82549,
97215,91680,
97216,55590,
97217,92255,
97218,73602,
97219,106242,
97220,61333,
97222,68366,
97223,96222,
97232,67591,
97233,48360,
97236,58093,
97239,96477,
97266,63274,
97267,73575,
